0	0	5331379900	0	1	4629833200	0	2	821706	0	3	79903402	0	4	73336968	0	5	0	0	6	0	
1	0	5039173600	1	1	4138080400	1	2	864374	1	3	79659684	1	4	73636592	1	5	0	1	6	0	
2	0	4874659900	2	1	4505428500	2	2	831468	2	3	80269360	2	4	74156988	2	5	0	2	6	0	
3	0	4665653700	3	1	4530816500	3	2	812784	3	3	80493068	3	4	73512076	3	5	0	3	6	0	
4	0	4308491000	4	1	5178674500	4	2	6029484	4	3	80579132	4	4	74317488	4	5	0	4	6	0	
5	0	4625652500	5	1	4833531200	5	2	933390	5	3	80289440	5	4	73903474	5	5	0	5	6	0	
6	0	5048986400	6	1	4685877000	6	2	856836	6	3	81352042	6	4	74326596	6	5	0	6	6	0	
7	0	5354076700	7	1	4630384000	7	2	945876	7	3	80258654	7	4	73552622	7	5	0	7	6	0	
8	0	5096738900	8	1	5602267900	8	2	2674580	8	3	99784570	8	4	75092914	8	5	0	8	6	0	
9	0	4073556400	9	1	4644205300	9	2	931776	9	3	87105718	9	4	74060828	9	5	0	9	6	0	
