0	0	125	0	1	125	0	2	100000236	0	3	100000079	0	4	0	0	5	0	0	6	0	0	7	0	
1	0	125	1	1	125	1	2	100000207	1	3	100000079	1	4	0	1	5	0	1	6	0	1	7	0	
2	0	125	2	1	125	2	2	100000185	2	3	100000079	2	4	0	2	5	0	2	6	0	2	7	0	
3	0	124	3	1	125	3	2	99999982	3	3	100000079	3	4	0	3	5	0	3	6	0	3	7	0	
4	0	125	4	1	125	4	2	99999920	4	3	100000079	4	4	0	4	5	0	4	6	0	4	7	0	
5	0	125	5	1	125	5	2	99999851	5	3	100000079	5	4	0	5	5	0	5	6	0	5	7	0	
6	0	125	6	1	125	6	2	99999915	6	3	100000079	6	4	0	6	5	0	6	6	0	6	7	0	
7	0	125	7	1	125	7	2	99999943	7	3	100000079	7	4	0	7	5	0	7	6	0	7	7	0	
8	0	125	8	1	125	8	2	99999868	8	3	100000079	8	4	0	8	5	0	8	6	0	8	7	0	
9	0	124	9	1	125	9	2	100000046	9	3	100000079	9	4	0	9	5	0	9	6	0	9	7	0	
