0	0	24742015200	0	1	4839674800	0	2	4839430	0	3	86434750	0	4	65378730	0	5	0	0	6	0	
1	0	23319619700	1	1	5256686100	1	2	1177520	1	3	93249950	1	4	75074830	1	5	0	1	6	0	
2	0	23140836800	2	1	5135969900	2	2	5179380	2	3	88450170	2	4	68576430	2	5	0	2	6	0	
3	0	24370483200	3	1	6488079200	3	2	2586660	3	3	90986740	3	4	66690660	3	5	0	3	6	0	
4	0	24515058900	4	1	5416322200	4	2	4724980	4	3	87418430	4	4	66199260	4	5	0	4	6	0	
5	0	23833778500	5	1	5227119800	5	2	4961220	5	3	91009820	5	4	66881670	5	5	0	5	6	0	
6	0	25494176600	6	1	5608531600	6	2	3314610	6	3	89456710	6	4	66260870	6	5	0	6	6	0	
7	0	26923939900	7	1	6057697000	7	2	5020070	7	3	90423670	7	4	67180990	7	5	0	7	6	0	
8	0	23603731000	8	1	6174039800	8	2	7036080	8	3	113888040	8	4	80989540	8	5	0	8	6	0	
9	0	21641741400	9	1	5334734300	9	2	3964790	9	3	100147980	9	4	68694670	9	5	0	9	6	0	
